0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Thu Jul 30 13:02:41 +0000 2020,"Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work continues on for many businesses and Americ… https://t.co/T3w9xOzG8b",0,[],,[]
Thu Jul 30 13:02:38 +0000 2020,"Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work continues on for many businesses and Americ… https://t.co/kliJsG2NVA",0,[],,[]
Thu Jul 30 13:02:29 +0000 2020,"Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work continues on for many businesses and Americ… https://t.co/YCxTtrmYu2",0,[],,[]
Thu Jul 30 13:02:24 +0000 2020,"What is Happening In Real Estate Today!

Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work co… https://t.co/wpfjmAzYBg",0,[],,[]
Thu Jul 30 13:02:17 +0000 2020,"Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work continues on for many businesses and Americ… https://t.co/dQJnZpb2o9",0,[],,[]
Thu Jul 30 13:02:08 +0000 2020,"The prevalence of remote work, which is likely to continue post-pandemic, is testing leaders across industries. 

H… https://t.co/ti7QgdLNBU",0,[],,[]
Thu Jul 30 13:02:02 +0000 2020,"Running a Startup During the Pandemic: Has Remote Work Changed the Landscape? Trends, Themes &amp; Patterns -- Your Que… https://t.co/BDkR95tCeP",0,[],,[]
Thu Jul 30 13:01:59 +0000 2020,"Keeping your documents secure with #AI seems to be the next logical step, right? https://t.co/A6EIwyrCX5",2,"[{""secure"":2}]",,[]
Thu Jul 30 13:01:58 +0000 2020,"Will We See a Surge of Homebuyers Moving to the Suburbs?
As remote work continues on for many businesses and Americ… https://t.co/VIu3KubsTI",0,[],,[]
Thu Jul 30 13:01:49 +0000 2020,"RT @toptal: Igor Dinuzzi is a designer from Madrid whose past projects include work for @Facebook and @PwC.

With 2+ years of #remote exper…",0,[],,[]
Thu Jul 30 13:01:45 +0000 2020,Study: 52 percent of companies now combine office work with remote work https://t.co/ML29VHYjof,0,[],,[]
Thu Jul 30 13:01:36 +0000 2020,The Impact of Technology on Remote Work Trends During the Pandemic https://t.co/qAvBV517sJ,0,[],,[]
